 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0095,6603,0.0000,0,0,4402.3152,81.0610,4324,44,130,102,0.0000,0.0000,1,1
2,GFP_colonies:0002-0174,104,0.0000,0,0,4475.4038,174.5673,4470,165,9,18,0.0000,0.0000,1,1
3,GFP_colonies:0003-0774,210,255.0000,255,255,3022.1905,774.5714,3011,768,22,13,53550.0000,53550.0000,1,2
4,GFP_colonies:0004-0949,2302,164.4983,0,255,3346.1579,942.5680,3324,921,58,56,378675.0000,378675.0000,1,2
5,GFP_colonies:0005-0971,2052,0.0000,0,0,3296.5102,971.7451,3271,946,51,51,0.0000,0.0000,1,1
6,GFP_colonies:0006-1048,1157,141.7156,0,255,2889.2076,1042.8188,2875,1029,42,39,163965.0000,163965.0000,1,2
7,GFP_colonies:0007-1054,1932,0.0000,0,0,2649.1573,1054.6346,2624,1030,50,49,0.0000,0.0000,1,1
8,GFP_colonies:0008-1062,2244,0.0000,0,0,3492.9216,1062.0570,3465,1035,55,54,0.0000,0.0000,1,1
9,GFP_colonies:0009-1073,1921,148.2743,0,255,2411.7927,1066.4060,2393,1048,54,51,284835.0000,284835.0000,1,2
10,GFP_colonies:0010-1101,1803,0.0000,0,0,2465.4229,1101.3869,2441,1077,49,49,0.0000,0.0000,1,1
11,GFP_colonies:0011-1116,3220,0.0000,0,0,2773.2534,1117.8149,2743,1079,63,74,0.0000,0.0000,1,1
12,GFP_colonies:0012-1116,2469,0.0000,0,0,3215.7070,1115.7600,3188,1088,57,56,0.0000,0.0000,1,1
13,GFP_colonies:0013-1126,277,0.0000,0,0,1237.5433,1126.2798,1228,1116,19,21,0.0000,0.0000,1,1
14,GFP_colonies:0014-1184,1468,0.0000,0,0,2945.7738,1184.1860,2924,1163,44,42,0.0000,0.0000,1,1
15,GFP_colonies:0015-1199,749,255.0000,255,255,1830.5000,1199.5000,1815,1184,31,31,190995.0000,190995.0000,1,2
16,GFP_colonies:0016-1210,1454,0.0000,0,0,3047.0055,1210.1802,3025,1189,43,43,0.0000,0.0000,1,1
17,GFP_colonies:0017-1251,1634,0.0000,0,0,2421.0239,1251.5184,2397,1229,47,45,0.0000,0.0000,1,1
18,GFP_colonies:0018-1247,860,0.0000,0,0,2995.0686,1247.0512,2978,1230,34,34,0.0000,0.0000,1,1
19,GFP_colonies:0019-1259,1639,0.0000,0,0,2580.0894,1258.7233,2557,1237,47,45,0.0000,0.0000,1,1
20,GFP_colonies:0020-1261,1327,0.0000,0,0,2944.6861,1261.3131,2923,1240,43,42,0.0000,0.0000,1,1
21,GFP_colonies:0021-1270,1829,0.0000,0,0,3449.8477,1270.4355,3426,1246,48,49,0.0000,0.0000,1,1
22,GFP_colonies:0022-1295,1961,0.0000,0,0,3661.6968,1295.7300,3637,1271,50,49,0.0000,0.0000,1,1
23,GFP_colonies:0023-1281,126,0.0000,0,0,1163.0714,1280.5556,1157,1273,12,17,0.0000,0.0000,1,1
24,GFP_colonies:0024-1312,1454,0.0000,0,0,2395.6011,1312.7263,2373,1292,46,41,0.0000,0.0000,1,1
