 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,RFP,316,181.1646,159,197,1819.9958,1820.0000,1810,1810,20,20,57248.0000,57248.0000,1
2,RFP,948,181.4736,162,204,1819.8947,1819.9541,1800,1800,40,40,172037.0000,172037.0000,1
3,RFP,1564,181.6368,138,203,1819.6744,1819.9932,1790,1790,60,60,284080.0000,284080.0000,1
4,RFP,2196,183.7213,155,208,1819.5106,1820.0054,1780,1780,80,80,403452.0000,403452.0000,1
5,RFP,2836,184.4824,156,211,1819.5816,1820.0104,1770,1770,100,100,523192.0000,523192.0000,1
6,RFP,3444,186.7703,155,245,1819.1809,1820.0880,1760,1760,120,120,643237.0000,643237.0000,1
7,RFP,4076,187.3660,150,212,1819.1245,1820.1961,1750,1750,140,140,763704.0000,763704.0000,1
8,RFP,4728,189.2234,163,215,1818.9031,1820.5294,1740,1740,160,160,894648.0000,894648.0000,1
9,RFP,5340,190.5534,160,234,1818.7344,1820.8224,1730,1730,180,180,1017555.0000,1017555.0000,1
10,RFP,5980,193.3003,157,236,1818.7748,1820.8164,1720,1720,200,200,1155936.0000,1155936.0000,1
11,RFP,6596,195.7389,162,223,1818.3962,1821.1724,1710,1710,220,220,1291094.0000,1291094.0000,1
12,RFP,7220,197.3427,162,227,1818.4361,1821.3592,1700,1700,240,240,1424814.0000,1424814.0000,1
13,RFP,7852,200.5378,166,231,1818.0341,1821.6969,1690,1690,260,260,1574623.0000,1574623.0000,1
14,RFP,8476,204.2390,172,241,1817.6117,1821.8430,1680,1680,280,280,1731130.0000,1731130.0000,1
15,RFP,9116,205.7758,174,255,1818.2235,1821.9352,1670,1670,300,300,1875852.0000,1875852.0000,1
16,RFP,9764,205.9020,170,255,1819.9323,1822.0371,1660,1660,320,320,2010427.0000,2010427.0000,1
17,RFP,10372,204.1744,164,237,1821.8619,1822.3710,1650,1650,340,340,2117697.0000,2117697.0000,1
18,RFP,10956,203.1501,166,233,1824.0581,1822.0679,1640,1640,360,360,2225713.0000,2225713.0000,1
19,RFP,11644,201.0753,159,237,1826.1723,1822.1658,1630,1630,380,380,2341321.0000,2341321.0000,1
20,RFP,12252,197.1361,151,232,1827.0544,1822.2757,1620,1620,400,400,2415312.0000,2415312.0000,1
21,RFP,12860,191.2935,122,228,1828.1153,1822.7486,1610,1610,420,420,2460034.0000,2460034.0000,1
22,RFP,13552,185.7530,125,233,1829.6913,1823.4485,1600,1600,440,440,2517324.0000,2517324.0000,1
23,RFP,14108,179.4346,126,230,1830.6747,1824.0959,1590,1590,460,460,2531463.0000,2531463.0000,1
24,RFP,14764,172.9014,117,215,1831.6612,1825.4841,1580,1580,480,480,2552717.0000,2552717.0000,1
25,RFP,15404,166.0993,91,226,1833.6014,1826.6635,1570,1570,500,500,2558594.0000,2558594.0000,1
