 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,GFP,316,38.5665,15,61,1819.9104,1820.0539,1810,1810,20,20,12187.0000,12187.0000,1
2,GFP,948,39.1129,9,75,1819.6068,1819.8908,1800,1800,40,40,37079.0000,37079.0000,1
3,GFP,1564,40.0627,8,74,1819.3970,1819.5662,1790,1790,60,60,62658.0000,62658.0000,1
4,GFP,2196,40.7468,6,84,1819.2763,1819.5652,1780,1780,80,80,89480.0000,89480.0000,1
5,GFP,2836,41.5913,10,84,1819.5928,1819.0543,1770,1770,100,100,117953.0000,117953.0000,1
6,GFP,3444,43.7468,11,142,1818.9713,1817.6447,1760,1760,120,120,150664.0000,150664.0000,1
7,GFP,4076,44.4507,8,83,1818.7947,1818.3176,1750,1750,140,140,181181.0000,181181.0000,1
8,GFP,4728,45.7811,8,86,1817.9738,1819.2098,1740,1740,160,160,216453.0000,216453.0000,1
9,GFP,5340,47.3082,8,90,1817.2931,1818.4315,1730,1730,180,180,252626.0000,252626.0000,1
10,GFP,5980,49.2430,10,123,1816.9776,1819.1624,1720,1720,200,200,294473.0000,294473.0000,1
11,GFP,6596,51.4143,8,110,1816.4008,1819.4354,1710,1710,220,220,339129.0000,339129.0000,1
12,GFP,7220,53.5891,17,105,1815.8909,1819.8825,1700,1700,240,240,386913.0000,386913.0000,1
13,GFP,7852,55.8353,14,101,1817.7493,1821.1889,1690,1690,260,260,438419.0000,438419.0000,1
14,GFP,8476,58.5682,22,113,1817.1276,1820.5054,1680,1680,280,280,496424.0000,496424.0000,1
15,GFP,9116,59.6579,22,99,1819.5469,1820.8334,1670,1670,300,300,543841.0000,543841.0000,1
16,GFP,9764,60.8927,21,109,1822.5072,1821.1596,1660,1660,320,320,594556.0000,594556.0000,1
17,GFP,10372,60.3358,12,107,1825.7917,1820.8697,1650,1650,340,340,625803.0000,625803.0000,1
18,GFP,10956,60.3779,11,112,1828.6427,1821.1875,1640,1640,360,360,661500.0000,661500.0000,1
19,GFP,11644,58.9629,10,100,1831.5641,1819.0237,1630,1630,380,380,686564.0000,686564.0000,1
20,GFP,12252,56.5174,7,105,1835.7919,1817.4169,1620,1620,400,400,692451.0000,692451.0000,1
21,GFP,12860,53.6774,3,102,1840.7636,1816.4085,1610,1610,420,420,690292.0000,690292.0000,1
22,GFP,13552,50.2250,3,103,1845.9747,1818.2303,1600,1600,440,440,680649.0000,680649.0000,1
23,GFP,14108,46.6612,3,110,1848.7056,1820.6356,1590,1590,460,460,658296.0000,658296.0000,1
24,GFP,14764,42.0193,3,100,1851.2570,1822.1324,1580,1580,480,480,620373.0000,620373.0000,1
25,GFP,15404,38.2355,3,102,1856.3875,1820.4175,1570,1570,500,500,588979.0000,588979.0000,1
