 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,RFP,316,122.4525,104,132,1819.9500,1819.9893,1810,1810,20,20,38695.0000,38695.0000,1
2,RFP,948,121.6973,108,133,1819.8204,1819.9484,1800,1800,40,40,115369.0000,115369.0000,1
3,RFP,1564,121.4584,107,133,1819.5742,1820.0102,1790,1790,60,60,189961.0000,189961.0000,1
4,RFP,2196,121.6521,101,138,1819.1105,1820.0872,1780,1780,80,80,267148.0000,267148.0000,1
5,RFP,2836,122.4845,95,142,1818.4677,1820.1432,1770,1770,100,100,347366.0000,347366.0000,1
6,RFP,3444,123.4463,104,145,1817.9614,1820.3368,1760,1760,120,120,425149.0000,425149.0000,1
7,RFP,4076,125.0353,104,147,1817.2078,1820.5984,1750,1750,140,140,509644.0000,509644.0000,1
8,RFP,4728,126.8976,102,150,1816.3746,1820.8696,1740,1740,160,160,599972.0000,599972.0000,1
9,RFP,5340,128.7163,99,153,1815.3119,1821.2253,1730,1730,180,180,687345.0000,687345.0000,1
10,RFP,5980,130.6784,99,153,1814.5310,1821.7286,1720,1720,200,200,781457.0000,781457.0000,1
11,RFP,6596,132.5171,102,163,1813.7516,1821.8371,1710,1710,220,220,874083.0000,874083.0000,1
12,RFP,7220,135.6015,102,163,1812.6274,1822.0271,1700,1700,240,240,979043.0000,979043.0000,1
13,RFP,7852,138.6891,104,169,1811.0631,1822.3570,1690,1690,260,260,1088987.0000,1088987.0000,1
14,RFP,8476,141.8788,107,169,1810.4407,1822.4479,1680,1680,280,280,1202565.0000,1202565.0000,1
15,RFP,9116,143.9137,107,171,1810.9198,1822.8725,1670,1670,300,300,1311917.0000,1311917.0000,1
16,RFP,9764,142.5835,104,172,1814.5754,1823.7417,1660,1660,320,320,1392185.0000,1392185.0000,1
17,RFP,10372,139.1636,71,171,1820.1041,1825.7279,1650,1650,340,340,1443405.0000,1443405.0000,1
18,RFP,10956,133.0157,41,171,1827.0485,1829.0742,1640,1640,360,360,1457320.0000,1457320.0000,1
19,RFP,11644,123.6389,20,166,1834.8054,1834.9591,1630,1630,380,380,1439651.0000,1439651.0000,1
20,RFP,12252,113.4900,11,172,1834.9231,1843.2037,1620,1620,400,400,1390479.0000,1390479.0000,1
21,RFP,12860,102.2656,0,180,1827.2147,1851.9814,1610,1610,420,420,1315136.0000,1315136.0000,1
22,RFP,13552,93.3214,0,175,1816.2974,1855.6815,1600,1600,440,440,1264692.0000,1264692.0000,1
23,RFP,14108,85.6678,0,168,1810.7856,1858.4698,1590,1590,460,460,1208602.0000,1208602.0000,1
24,RFP,14764,78.8078,0,165,1804.8015,1868.7472,1580,1580,480,480,1163518.0000,1163518.0000,1
25,RFP,15404,74.4446,0,157,1799.8196,1882.6195,1570,1570,500,500,1146744.0000,1146744.0000,1
